GCF_000422825.1	WP_028660106.1
GCF_900112345.1	WP_091126147.1
GCF_001815745.1	WP_083304410.1
GCF_002117935.1	WP_085872309.1
GCF_000964005.1	WP_045824230.1
GCF_001426245.1	WP_082553257.1
GCF_000332815.1	WP_009357567.1
GCF_000819445.1	WP_040086188.1
GCF_000732945.1	WP_038606084.1
GCF_000950575.1	WP_045076149.1
GCF_001814575.1	WP_066487126.1
GCF_001807365.1	WP_061923395.1
GCF_000620545.1	WP_034770420.1
GCF_000175635.1	WP_005328829.1
GCF_001556795.1	WP_062256964.1
GCF_001813755.1	WP_071409977.1
GCF_000477915.1	WP_023017266.1
GCF_002002925.1	WP_077508809.1
GCF_001887695.1	WP_038936643.1
GCF_900099695.1	WP_091934893.1
GCF_001814885.1	WP_070701768.1
GCF_000224715.1	WP_010146823.1
GCF_900049755.1	WP_066588913.1
GCF_001422645.1	WP_056428387.1
GCF_000520575.1	WP_028275955.1
